ID,ControlGroupArea,Panel,OriginInterlocking,OriginSignal,Route,Exit,DestinationPlatform,DestinationLineName,DestinationDirectionOfMoveUpDn,Class,ARS,Notes,OverSetting,PreferredRouteOption,TipLocOriginate,RouteElectrified,OriginPlatform,TipLocDestination,TipLocIntermediate,EntryDateTime,TraversalTimes
388,CAG2,3,ED,S195,R195AM,S201,4,FL,Dn,M,1,NULL,1,NULL,NULL,E,NULL,EARLSWD,NULL,2020-11-17 11:42:25.737,20
389,CAG2,3,ED,S197,R197AM,S201,4,FL,Dn,M,1,NULL,1,NULL,NULL,E,NULL,EARLSWD,NULL,2020-11-17 11:42:25.737,20
390,CAG2,3,ED,S197,R197BM,S205,2,SL,Dn,M,1,NULL,1,NULL,NULL,E,NULL,EARLSWD,NULL,2020-11-17 11:42:25.737,20
391,CAG2,3,ED,S201,R201AM,S209,NULL,FL,Dn,M,1,NULL,1,NULL,EARLSWD,E,4,NULL,NULL,2020-11-17 11:42:25.737,20
392,CAG2,3,ED,S201,R201BM,S211,NULL,SL,Dn,M,1,NULL,1,NULL,EARLSWD,E,4,EARL136,NULL,2020-11-17 11:42:25.737,20
393,CAG2,3,ED,S205,R205AM,S211,NULL,SL,Dn,M,1,NULL,1,NULL,EARLSWD,E,2,EARL136,NULL,2020-11-17 11:42:25.737,20
394,CAG2,3,ED,S206,R206AM,S496,NULL,NULL,Up,M,1,NULL,1,NULL,EARL206,E,4,NULL,NULL,2020-11-17 11:42:25.737,20
395,CAG2,3,ED,S206,R206BM,S204,NULL,QL,Up,M,1,NULL,1,NULL,EARL206,E,4,NULL,NULL,2020-11-17 11:42:25.737,20
396,CAG2,3,ED,S208,R208AM,S496,NULL,NULL,Up,M,1,NULL,1,NULL,EARL206,E,3,NULL,NULL,2020-11-17 11:42:25.737,20
397,CAG2,3,ED,S208,R208BM,S204,NULL,QL,Up,M,1,NULL,1,NULL,EARLSWD,E,3,NULL,NULL,2020-11-17 11:42:25.737,20
398,CAG2,3,ED,S210,R210AM,S496,NULL,NULL,Up,M,1,NULL,1,NULL,EARLSWD,E,2,NULL,NULL,2020-11-17 11:42:25.737,20
399,CAG2,3,ED,S212,R212AM,S496,NULL,NULL,Up,M,1,NULL,1,NULL,EARLSWD,E,1,NULL,NULL,2020-11-17 11:42:25.737,20
400,CAG2,3,ED,S214,R214AM,S208,3,FL,Up,M,1,NULL,1,NULL,NULL,E,NULL,EARLSWD,NULL,2020-11-17 11:42:25.737,20
401,CAG2,3,ED,S216,R216AM,S212,1,SL,Up,M,1,NULL,1,NULL,NULL,E,NULL,EARLSWD,NULL,2020-11-17 11:42:25.737,20
402,CAG2,3,ED,S216,R216BM,S210,2,SL,Up,M,1,NULL,1,NULL,NULL,E,NULL,EARLSWD,NULL,2020-11-17 11:42:25.737,20
403,CAG2,3,ED,S216,R216CM,S208,NULL,FL,Up,M,1,NULL,1,NULL,NULL,E,NULL,NULL,NULL,2020-11-17 11:42:25.737,20
404,CAG2,3,ED,S219,R219AM,S225,NULL,SL,Dn,M,1,NULL,1,NULL,SALFDS,E,2,NULL,NULL,2020-11-17 11:42:25.737,20
405,CAG2,3,ED,S230,R230AM,S224,1,SL,Up,M,1,NULL,1,NULL,NULL,E,NULL,SALFDS,NULL,2020-11-17 11:42:25.737,20
406,CAG2,3,RL,S479,R479AM,S481,NULL,NULL,Dn,M,1,NULL,1,NULL,COLSDNS,E,NULL,NULL,NULL,2020-11-17 11:42:25.737,20
