ID,ControlGroupArea,Panel,OriginInterlocking,OriginSignal,Route,Exit,DestinationPlatform,DestinationLineName,DestinationDirectionOfMoveUpDn,Class,ARS,Notes,OverSetting,PreferredRouteOption,TipLocOriginate,RouteElectrified,OriginPlatform,TipLocDestination,TipLocIntermediate,OriginLineName,EntryDateTime,TraversalTimes
791,CAG4,5,TB,S310,R310AM,S306,1,NULL,Up,M,1,NULL,1,NULL,NULL,E,NULL,BALCOMB,NULL,NULL,2021-02-16 11:49:33.723,20
792,CAG4,5,TB,S311,R311AM,S315,2,NULL,Dn,M,1,NULL,1,NULL,NULL,E,NULL,BALCOMB,NULL,NULL,2021-02-16 11:49:33.723,20
793,CAG4,5,TB,S312,R312AM,S308,2,NULL,Up,M,1,NULL,1,NULL,NULL,E,NULL,BALCOMB,NULL,NULL,2021-02-16 11:49:33.723,20
794,CAG4,5,TB,S313,R313AM,S317,1,NULL,Dn,M,1,NULL,1,NULL,NULL,E,NULL,BALCOMB,NULL,NULL,2021-02-16 11:49:33.723,20
795,CAG4,5,HH,S330,R330AM,S326,NULL,UML,Up,M,1,NULL,1,NULL,CPYHLDJ,E,NULL,NULL,NULL,UV,2021-02-16 11:49:33.723,20
796,CAG4,5,HH,S330,R330BM,S320,NULL,DML,Up,M,1,Wrong-line move,1,NULL,CPYHLDJ,E,NULL,NULL,NULL,UV,2021-02-16 11:49:33.723,20
797,CAG4,5,HH,S331,R331AM,S337,NULL,DV,Dn,M,1,NULL,1,NULL,CPYHLDJ,E,NULL,NULL,NULL,NULL,2021-02-16 11:49:33.723,20
798,CAG4,5,HH,S332,R332AM,S326,NULL,UML,Up,M,1,NULL,1,NULL,CPYHLDJ,E,NULL,NULL,NULL,UML,2021-02-16 11:49:33.723,20
799,CAG4,5,HH,S332,R332BM,S320,NULL,DML,Up,M,1,Wrong-line move,1,NULL,CPYHLDJ,E,NULL,NULL,NULL,UML,2021-02-16 11:49:33.723,20
800,CAG4,5,HH,S333,R333AM,S337,NULL,DV,Dn,M,1,NULL,1,NULL,CPYHLDJ,E,NULL,NULL,NULL,DML,2021-02-16 11:49:33.723,20
801,CAG4,5,HH,S333,R333BM,S339,NULL,DML,Dn,M,1,NULL,1,NULL,CPYHLDJ,E,NULL,NULL,NULL,DML,2021-02-16 11:49:33.723,20
802,CAG4,5,HH,S333,R333CM,S343,NULL,UV,Dn,M,1,NULL,1,NULL,CPYHLDJ,E,NULL,NULL,NULL,DML,2021-02-16 11:49:33.723,20
803,CAG4,5,HH,S335X,R335XAM,S337,NULL,DV,Dn,M,1,NULL,0,NULL,CPYHLDJ,E,NULL,NULL,NULL,UML,2021-02-16 11:49:33.723,20
804,CAG4,5,HH,S335X,R335XBM,S339,NULL,DML,Dn,M,1,NULL,0,NULL,CPYHLDJ,E,NULL,NULL,NULL,UML,2021-02-16 11:49:33.723,20
805,CAG4,5,HH,S335X,R335XCM,S343,NULL,UV,Dn,M,1,NULL,0,NULL,CPYHLDJ,E,NULL,NULL,NULL,UML,2021-02-16 11:49:33.723,20
806,CAG4,5,HH,S336,R336AM,S326,NULL,UML,Up,M,1,NULL,1,NULL,CPYHLDJ,E,NULL,NULL,NULL,DV,2021-02-16 11:49:33.723,20
807,CAG4,5,HH,S336,R336BM,S320,NULL,DML,Up,M,1,Wrong-line move,1,NULL,CPYHLDJ,E,NULL,NULL,NULL,DV,2021-02-16 11:49:33.723,20
808,CAG4,5,HH,S336,R336CM,S331,NULL,NULL,Up,M,1,Requires branch-occupied indicator not set,1,NULL,CPYHLDJ,E,NULL,ARDNGLY,NULL,DV,2021-02-16 11:49:33.723,20
809,CAG4,5,HH,S337,R337AC,S345,1,DV,Dn,C,1,Cat 5,0,NULL,NULL,E,NULL,HYWRDSH,NULL,DV,2021-02-16 11:49:33.723,20
810,CAG4,5,HH,S337,R337AM,S345,1,DV,Dn,M,1,NULL,0,NULL,NULL,E,NULL,HYWRDSH,NULL,DV,2021-02-16 11:49:33.723,20
811,CAG4,5,HH,S338,R338AM,S330,NULL,UV,Up,M,1,NULL,1,NULL,HYWRDSH,E,4,CPYHLDJ,NULL,UV,2021-02-16 11:49:33.723,20
813,CAG4,5,HH,S339,R339AM,S347,2,DML,Dn,M,1,NULL,0,NULL,NULL,E,NULL,HYWRDSH,NULL,DML,2021-02-16 11:49:33.723,20
815,CAG4,5,HH,S343,R343AM,S351,4,UV,Dn,M,1,NULL,0,NULL,NULL,E,NULL,HYWRDSH,NULL,UV,2021-02-16 11:49:33.723,20
816,CAG4,5,HH,S344,R344AM,S336,NULL,DV,Up,M,1,NULL,1,NULL,HYWRDSH,E,1,CPYHLDJ,NULL,DV,2021-02-16 11:49:33.723,20
818,CAG4,5,HH,S345,R345AS,S1230,NULL,NULL,Dn,S,1,Made ARS settable assuming TORC can be applied,0,NULL,HYWRDSH,E,1,HYWRDNK,NULL,DV,2021-02-16 11:49:33.723,20
819,CAG4,5,HH,S345,R345BM,S353,NULL,DML,Dn,M,1,NULL,1,NULL,HYWRDSH,E,1,NULL,NULL,DV,2021-02-16 11:49:33.723,20
820,CAG4,5,HH,S345,R345CM,S367X,NULL,UML,Dn,M,1,NULL,1,NULL,HYWRDSH,E,1,NULL,NULL,DV,2021-02-16 11:49:33.723,20
821,CAG4,5,HH,S347,R347AM,S353,NULL,DML,Dn,M,1,NULL,1,NULL,HYWRDSH,E,2,NULL,NULL,DML,2021-02-16 11:49:33.723,20
822,CAG4,5,HH,S347,R347BM,S367X,NULL,UML,Dn,M,1,NULL,1,NULL,HYWRDSH,E,2,NULL,NULL,DML,2021-02-16 11:49:33.723,20
823,CAG4,5,HH,S348,R348AC,S338,4,UV,Up,C,1,Cat 5,0,NULL,NULL,E,NULL,HYWRDSH,NULL,UML,2021-02-16 11:49:33.723,20
824,CAG4,5,HH,S348,R348AM,S338,4,UV,Up,M,1,NULL,0,NULL,NULL,E,NULL,HYWRDSH,NULL,UML,2021-02-16 11:49:33.723,20
826,CAG4,5,HH,S348,R348BM,S340,3,UML,Up,M,1,NULL,1,NULL,NULL,E,NULL,HYWRDSH,NULL,UML,2021-02-16 11:49:33.723,20
827,CAG4,5,HH,S348,R348CC,S342,2,DML,Up,C,1,Cat 5,0,NULL,NULL,E,NULL,HYWRDSH,NULL,UML,2021-02-16 11:49:33.723,20
828,CAG4,5,HH,S348,R348CM,S342,2,DML,Up,M,1,NULL,1,NULL,NULL,E,NULL,HYWRDSH,NULL,UML,2021-02-16 11:49:33.723,20
829,CAG4,5,HH,S348,R348DC,S344,1,DV,Up,C,1,Cat 5,0,NULL,NULL,E,NULL,HYWRDSH,NULL,UML,2021-02-16 11:49:33.723,20
830,CAG4,5,HH,S348,R348DM,S344,1,DV,Up,M,1,NULL,0,NULL,NULL,E,NULL,HYWRDSH,NULL,UML,2021-02-16 11:49:33.723,20
831,CAG4,5,HH,S349,R349AM,S353,NULL,DML,Dn,M,1,NULL,1,NULL,HYWRDSH,E,3,NULL,NULL,UML,2021-02-16 11:49:33.723,20
832,CAG4,5,HH,S349,R349BM,S367X,NULL,UML,Dn,M,1,NULL,1,NULL,HYWRDSH,E,3,NULL,NULL,UML,2021-02-16 11:49:33.723,20
833,CAG4,5,HH,S350X,R350XAC,S338,4,UV,Up,C,1,Cat 5,0,NULL,NULL,E,NULL,HYWRDSH,NULL,DML,2021-02-16 11:49:33.723,20
834,CAG4,5,HH,S350X,R350XAM,S338,4,UV,Up,M,1,NULL,0,NULL,NULL,E,NULL,HYWRDSH,NULL,DML,2021-02-16 11:49:33.723,20
836,CAG4,5,HH,S350X,R350XBM,S340,3,UML,Up,M,1,NULL,1,NULL,NULL,E,NULL,HYWRDSH,NULL,DML,2021-02-16 11:49:33.723,20
837,CAG4,5,HH,S350X,R350XCC,S342,2,DML,Up,C,1,NULL,0,NULL,NULL,E,NULL,HYWRDSH,NULL,DML,2021-02-16 11:49:33.723,20
838,CAG4,5,HH,S350X,R350XCM,S342,2,DML,Up,M,1,NULL,1,NULL,NULL,E,NULL,HYWRDSH,NULL,DML,2021-02-16 11:49:33.723,20
839,CAG4,5,HH,S350X,R350XDC,S344,1,DV,Up,C,1,NULL,0,NULL,NULL,E,NULL,HYWRDSH,NULL,DML,2021-02-16 11:49:33.723,20
840,CAG4,5,HH,S350X,R350XDM,S344,1,DV,Up,M,1,NULL,0,NULL,NULL,E,NULL,HYWRDSH,NULL,DML,2021-02-16 11:49:33.723,20
841,CAG4,5,HH,S351,R351AM,S353,NULL,DML,Dn,M,1,NULL,1,NULL,HYWRDSH,E,4,NULL,NULL,UV,2021-02-16 11:49:33.723,20
842,CAG4,5,HH,S351,R351BM,S367X,NULL,UML,Dn,M,1,NULL,0,NULL,HYWRDSH,E,4,NULL,NULL,UV,2021-02-16 11:49:33.723,20
843,CAG4,5,HH,S365,R365AM,S369,2,DML,Dn,M,1,NULL,1,NULL,NULL,E,NULL,WVLSFLD,NULL,DML,2021-02-16 11:49:33.723,20
844,CAG4,5,HH,S367X,R367XAM,S371X,1,UML,Dn,M,1,NULL,0,NULL,NULL,E,NULL,WVLSFLD,NULL,UML,2021-02-16 11:49:33.723,20
